opprettet,Første,Andre,Tredje,Fjerde,Femte,Sjette,Syvende
2021-01-01,24.0,,126.0,,8.879999999999999,,163.8
2021-01-02,12.0,,58.0,,4.4399999999999995,,75.4
2021-01-03,27.0,,158.0,,9.99,,205.4
2021-01-04,142.0,169.0,534.0,116.0,52.54,84.5,694.2
2021-01-05,74.0,222.0,240.0,123.0,27.38,111.0,312.0
2021-01-06,58.0,252.0,185.0,94.0,21.46,126.0,240.5
2021-01-07,39.0,258.0,145.0,66.0,14.43,129.0,188.5
2021-01-08,,18.0,10.0,3.0,,9.0,13.0
2021-01-09,5.0,13.0,10.0,10.0,1.85,6.5,13.0
2021-01-10,,2.0,5.0,4.0,,1.0,6.5
2021-01-11,96.0,443.0,292.0,246.0,35.519999999999996,221.5,379.6
2021-01-12,79.0,371.0,269.0,139.0,29.23,185.5,349.7
2021-01-13,56.0,177.0,146.0,76.0,20.72,88.5,189.8
2021-01-14,45.0,262.0,206.0,81.0,16.65,131.0,267.8
2021-01-15,47.0,191.0,143.0,73.0,17.39,95.5,185.9
2021-01-16,6.0,6.0,15.0,4.0,2.2199999999999998,3.0,19.5
2021-01-17,6.0,4.0,30.0,17.0,2.2199999999999998,2.0,39.0
2021-01-18,99.0,203.0,219.0,161.0,36.63,101.5,284.7
2021-01-19,45.0,161.0,81.0,47.0,16.65,80.5,105.3
2021-01-20,43.0,251.0,100.0,43.0,15.91,125.5,130.0
2021-01-21,47.0,295.0,60.0,33.0,17.39,147.5,78.0
2021-01-22,43.0,241.0,95.0,915.0,15.91,120.5,123.5
2021-01-23,6.0,26.0,24.0,94.0,2.2199999999999998,13.0,31.200000000000003
2021-01-24,,,,1.0,,,
2021-01-25,52.0,278.0,146.0,178.0,19.24,139.0,189.8
2021-01-26,37.0,157.0,70.0,63.0,13.69,78.5,91.0
2021-01-27,31.0,194.0,48.0,88.0,11.47,97.0,62.400000000000006
2021-01-28,17.0,146.0,48.0,80.0,6.29,73.0,62.400000000000006
2021-01-29,21.0,144.0,44.0,69.0,7.77,72.0,57.2
2021-01-30,,3.0,,2.0,,1.5,
2021-01-31,,2.0,4.0,,,1.0,5.2
2021-02-01,110.0,333.0,282.0,187.0,40.7,166.5,366.6
2021-02-02,76.0,331.0,218.0,145.0,28.12,165.5,283.40000000000003
2021-02-03,209.0,543.0,551.0,297.0,77.33,271.5,716.3000000000001
2021-02-04,55.0,246.0,129.0,65.0,20.35,123.0,167.70000000000002
2021-02-05,59.0,277.0,133.0,99.0,21.83,138.5,172.9
2021-02-06,19.0,35.0,42.0,57.0,7.03,17.5,54.6
2021-02-07,3.0,6.0,19.0,1.0,1.1099999999999999,3.0,24.7
2021-02-08,142.0,511.0,350.0,214.0,52.54,255.5,455.0
2021-02-09,40.0,214.0,96.0,83.0,14.8,107.0,124.80000000000001
2021-02-10,58.0,428.0,151.0,127.0,21.46,214.0,196.3
2021-02-11,44.0,309.0,66.0,62.0,16.28,154.5,85.8
2021-02-12,41.0,224.0,70.0,60.0,15.17,112.0,91.0
2021-02-13,13.0,35.0,17.0,58.0,4.81,17.5,22.1
2021-02-14,1.0,,4.0,1.0,0.37,,5.2
2021-02-15,109.0,311.0,187.0,133.0,40.33,155.5,243.1
2021-02-16,49.0,278.0,87.0,83.0,18.13,139.0,113.10000000000001
2021-02-17,40.0,251.0,63.0,79.0,14.8,125.5,81.9
2021-02-18,64.0,356.0,100.0,67.0,23.68,178.0,130.0
2021-02-19,114.0,522.0,232.0,175.0,42.18,261.0,301.6
2021-02-20,9.0,25.0,24.0,36.0,3.33,12.5,31.200000000000003
2021-02-21,1.0,8.0,8.0,1.0,0.37,4.0,10.4
2021-02-22,177.0,571.0,242.0,205.0,65.49,285.5,314.6
2021-02-23,86.0,435.0,99.0,238.0,31.82,217.5,128.70000000000002
2021-02-24,55.0,368.0,95.0,116.0,20.35,184.0,123.5
2021-02-25,53.0,467.0,94.0,113.0,19.61,233.5,122.2
2021-02-26,70.0,320.0,95.0,111.0,25.9,160.0,123.5
2021-02-27,1.0,1.0,6.0,,0.37,0.5,7.800000000000001
2021-02-28,4.0,4.0,44.0,7.0,1.48,2.0,57.2
2021-03-01,366.0,702.0,777.0,551.0,135.42,351.0,1010.1
2021-03-02,75.0,449.0,177.0,222.0,27.75,224.5,230.1
2021-03-03,58.0,682.0,114.0,114.0,21.46,341.0,148.20000000000002
2021-03-04,21.0,269.0,76.0,80.0,7.77,134.5,98.8
2021-03-05,72.0,347.0,145.0,79.0,26.64,173.5,188.5
2021-03-06,13.0,22.0,34.0,58.0,4.81,11.0,44.2
2021-03-07,1.0,3.0,14.0,4.0,0.37,1.5,18.2
2021-03-08,206.0,461.0,308.0,249.0,76.22,230.5,400.40000000000003
2021-03-09,133.0,447.0,178.0,183.0,49.21,223.5,231.4
2021-03-10,80.0,274.0,105.0,83.0,29.6,137.0,136.5
2021-03-11,56.0,380.0,97.0,47.0,20.72,190.0,126.10000000000001
2021-03-12,81.0,328.0,124.0,82.0,29.97,164.0,161.20000000000002
2021-03-13,7.0,21.0,13.0,34.0,2.59,10.5,16.900000000000002
2021-03-14,2.0,6.0,10.0,5.0,0.74,3.0,13.0
